,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-28T21:05:53Z,2023-09-28T21:05:53Z,betlogboy3,the zuck's conviction spending all that money on the metaverse finally starting to pay off.,the zuck&#39;s conviction spending all that money on the metaverse finally starting to pay off.,none,0,UCZQncBFg3HLS64wnpSagL5Q
1,2023-09-28T21:05:50Z,2023-09-28T21:05:50Z,Craig Miller,Welcome to nerd heaven!,Welcome to nerd heaven!,none,0,UCr07-va_n7Dpba4vNZbt9FA
2,2023-09-28T21:05:39Z,2023-09-28T21:05:39Z,Gianni Schicchi,Cool but no.,Cool but no.,none,0,UC6OwH5KApEDjCR2T6CkJfcw
3,2023-09-28T21:05:37Z,2023-09-28T21:05:37Z,D S,are you kidding me ?? Just this morning i searched for new mark zuckerberg podcasts and a few hours later you deliver! Delighted to watch this one,are you kidding me ?? Just this morning i searched for new mark zuckerberg podcasts and a few hours later you deliver! Delighted to watch this one,none,11,UCHhefigp_Jq55DTQbLMc5oQ
4,2023-09-28T21:05:28Z,2023-09-28T21:05:28Z,Benny the tiger,"Now, THIS is one of the most incredible things I've seen all my life. It's scary and amazing what we can do with human technology","Now, THIS is one of the most incredible things I&#39;ve seen all my life. It&#39;s scary and amazing what we can do with human technology",none,39,UCNB2BWXNy7YDyVEN4V01JNQ
5,2023-09-28T21:05:26Z,2023-09-28T21:05:26Z,Josh is a Jedi,Everyone laughed at the Metaverse when Mark first showed it off. This is next level.,Everyone laughed at the Metaverse when Mark first showed it off. This is next level.,none,413,UCgveWjb9M8l90jQvS_GNppA
6,2023-09-28T21:05:23Z,2023-09-28T21:05:23Z,Who Me?,"Besides being cool, how is this beneficial to us, what is the real life usefulness? Serious q.","Besides being cool, how is this beneficial to us, what is the real life usefulness? Serious q.",none,2,UCO-m6PJyrlTdYE_uX1ogtPA
7,2023-09-28T21:04:56Z,2023-09-28T21:04:56Z,HappyDawg,"The tech is great, but you look like the heads in Futurama to me.","The tech is great, but you look like the heads in Futurama to me.",none,0,UCuEUrvvPCjqbvCACWWqx8SQ
8,2023-09-28T21:04:53Z,2023-09-28T21:04:53Z,mz m,Its even capturing the lines on forehead 😮,Its even capturing the lines on forehead 😮,none,0,UCrOaa2eiMN0HdKUy_vEWjQw
9,2023-09-28T21:04:50Z,2023-09-28T21:04:50Z,Adam Saban,Never been so happy to one day be in a grave,Never been so happy to one day be in a grave,none,1,UC-y2dOMgebO_eS7d5KRFwkA
10,2023-09-28T21:04:44Z,2023-09-28T21:04:44Z,Kirill T,stay there...,stay there...,none,0,UCiGkuYglQMPWZYInkC32M_w
11,2023-09-28T21:04:34Z,2023-09-28T21:04:34Z,Senoculus,That's not lex. No suit and tie.,That&#39;s not lex. No suit and tie.,none,0,UCNdeDvdNF873K-dzE7Aj63A
12,2023-09-28T21:04:21Z,2023-09-28T21:04:21Z,Tshepiso Molefe,"Dr. Joe Dispenza tells you how to do it (how to use your mind to do it), Mark Zuckerberg makes you do it (puts you in that mindset). AI does it for you (just tell it what to do)","Dr. Joe Dispenza tells you how to do it (how to use your mind to do it), Mark Zuckerberg makes you do it (puts you in that mindset). AI does it for you (just tell it what to do)",none,0,UCHFIfEqOSVBD7MUVMPPQh_Q
13,2023-09-28T21:04:17Z,2023-09-28T21:04:17Z,Stian Aslaksen,What a time to be alive.(most people on earth unfortunately won't agree with this statement),What a time to be alive.(most people on earth unfortunately won&#39;t agree with this statement),none,0,UCbnC8qKOSLZtaT2-AbqrO7A
14,2023-09-28T21:04:14Z,2023-09-28T21:04:14Z,Patrice O'Neal,My family are abroad. I can't wait to try this to connect with them better !,My family are abroad. I can&#39;t wait to try this to connect with them better !,none,1,UCcAVLO_9peNs4ZGhXwrwOCQ
15,2023-09-28T21:04:00Z,2023-09-28T21:04:00Z,Marko Niksic,"All we do today is try to make virtual reality as real as possible all while the real world is out there available right now just less and less people are actually interested in living a life without having a cpu attached to your brain, sad.","All we do today is try to make virtual reality as real as possible all while the real world is out there available right now just less and less people are actually interested in living a life without having a cpu attached to your brain, sad.",none,2,UC-UDmOU1tsHdx80u9O65pRQ
