,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-29T07:58:25Z,2023-09-29T07:58:25Z,Bob Seward,Amazing!!!😮😮,Amazing!!!😮😮,none,0,UCHsIxTErJryeFOgWLgO0PqQ
1,2023-09-29T07:56:56Z,2023-09-29T07:56:56Z,Lucas OK,That was actually a very human moment from mark when he talked about getting shit for not emoting “enough” and he would like to be able to emote more than he does in real life. I hear ya mark,That was actually a very human moment from mark when he talked about getting shit for not emoting “enough” and he would like to be able to emote more than he does in real life. I hear ya mark,none,22,UCSbGcP1HK6ew2bKemAmBTHg
2,2023-09-29T07:56:21Z,2023-09-29T07:56:21Z,Country Mac,anything that is meant to be a reliable analog for reality gets exploited,anything that is meant to be a reliable analog for reality gets exploited,none,0,UCGugIwDNB3yC5T5AvktK9dg
3,2023-09-29T07:55:48Z,2023-09-29T07:55:48Z,WrenchingWarrior,Mark is the data of our time in the star trek universe. Change my mind.,Mark is the data of our time in the star trek universe. Change my mind.,none,0,UC6Ja4HbGCVnb7tUU7RyOmjQ
4,2023-09-29T07:54:36Z,2023-09-29T07:54:36Z,3$ixkidd,very cool,very cool,none,0,UCZKI_8GjtKanDO95c09H9uA
5,2023-09-29T07:54:26Z,2023-09-29T07:54:26Z,Yevhenii Ponomar,porn,porn,none,0,UCr3XgWn3i-rgSuFpdRFW_nw
6,2023-09-29T07:53:53Z,2023-09-29T07:53:53Z,Sad,I was 100% against metaverse. Now I'm interested. Well done,I was 100% against metaverse. Now I&#39;m interested. Well done,none,2,UCxWYiylqeorNQIvJQEd36Vw
7,2023-09-29T07:53:19Z,2023-09-29T07:53:19Z,Juan Ritz,"This is a spectacular demo, but it's frustrating that meta didn't think to set up at least one camera shot at an angle where their eyes meet. That would display the magic of this type of experience far better and with little added effort.","This is a spectacular demo, but it&#39;s frustrating that meta didn&#39;t think to set up at least one camera shot at an angle where their eyes meet. That would display the magic of this type of experience far better and with little added effort.",none,0,UCr1m5ha1zGmnTVMWHZ2Yxxg
8,2023-09-29T07:51:17Z,2023-09-29T07:51:17Z,Kevin Richardson,"Thought experiment. You get your avatar created, but are subsequently involved in an accident that leaves you physically deformed. Do you keep your avatar unchanged, thus denying reality or acknowledge the change to your physical manifestation?","Thought experiment. You get your avatar created, but are subsequently involved in an accident that leaves you physically deformed. Do you keep your avatar unchanged, thus denying reality or acknowledge the change to your physical manifestation?",none,0,UC6EbOy7y46QYe9W9lSJ68SA
9,2023-09-29T07:50:22Z,2023-09-29T07:50:22Z,Jay George,How do I see less of this guy's videos everyone else give me an option except this guy's it's like watch this or nothing,How do I see less of this guy&#39;s videos everyone else give me an option except this guy&#39;s it&#39;s like watch this or nothing,none,0,UCHBsEeE4ImyYTMcHOpa26TQ
