,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-28T18:47:08Z,2023-09-28T18:47:08Z,Nate O'Brien,This is the future they want to sell us...,This is the future they want to sell us...,none,1,UC67EVT0gJAkCjUCN8ejs96Q
1,2023-09-28T18:47:04Z,2023-09-28T18:47:04Z,Adam Bowman,This is cool but I dont think I'll ever trust any company with a detailed scan of myself.,This is cool but I dont think I&#39;ll ever trust any company with a detailed scan of myself.,none,0,UCRmII4I6oDfaxUcf7PWg3TQ
2,2023-09-28T18:46:40Z,2023-09-28T18:46:40Z,Cryostasis,This is what happens when you take the red pill,This is what happens when you take the red pill,none,0,UCtp-z4yswyMzq1baCZx_TNQ
3,2023-09-28T18:46:38Z,2023-09-28T18:46:38Z,nemtall,Mark is creepy,Mark is creepy,none,0,UCwIPHqk153brjOCy1vT3xAQ
4,2023-09-28T18:46:38Z,2023-09-28T18:46:38Z,Nihad Huzayen,Love how he’s shooting at apple 17:30,"Love how he’s shooting at apple <a href=""https://www.youtube.com/watch?v=MVYrJJNdrEg&amp;t=17m30s"">17:30</a>",none,0,UCgjKVwedPV7mhBKuqT9J66Q
5,2023-09-28T18:46:35Z,2023-09-28T18:46:35Z,funfactor,This is nuts!!!,This is nuts!!!,none,2,UCpuBV18_gvkX8pAriDzLrqg
6,2023-09-28T18:46:30Z,2023-09-28T18:46:30Z,Earth Is A School ,It will never replace time spent in nature for some of us that genuinely connect to nature.❤ Hope it does not make community less important.,It will never replace time spent in nature for some of us that genuinely connect to nature.❤ Hope it does not make community less important.,none,1,UC7frsLeAd5Ry27NcJEJxEVA
7,2023-09-28T18:46:21Z,2023-09-28T18:46:21Z,Vugar Guliyev,this is sad,this is sad,none,2,UCINzOuOLak5jfe6RwyT_Uzw
8,2023-09-28T18:46:15Z,2023-09-28T18:46:15Z,SmfknJ,This is absolutely insane,This is absolutely insane,none,1,UCh-u3Fibl_337dtVIKvJrQg
9,2023-09-28T18:46:14Z,2023-09-28T18:46:14Z,Joel Zapien,This was a great demo for the new tech!,This was a great demo for the new tech!,none,0,UC4ljiGtIZQ0VrRqDwR4h_Rw
