,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-28T19:59:30Z,2023-09-28T19:59:30Z,Mac intosh,Boring,Boring,none,1,UCYpTelRECf5swQJiYBgcKsg
1,2023-09-28T19:59:28Z,2023-09-28T19:59:28Z,T Minus,Get your sweet baby rays ready,Get your sweet baby rays ready,none,0,UCRvTN6ywCITjwE5Kgdd-wzQ
2,2023-09-28T19:59:20Z,2023-09-28T19:59:20Z,ben saltigerald,It feels like this video will be a good historical reference to VR becoming a reality. Funny thing is people will probably look back on this and see it as so primitive,It feels like this video will be a good historical reference to VR becoming a reality. Funny thing is people will probably look back on this and see it as so primitive,none,2,UCrsDwJCvPlBLZiwhcpznpdQ
3,2023-09-28T19:59:03Z,2023-09-28T19:59:03Z,Clint Lasher,Insane,Insane,none,0,UCihoLgZjcTD_m5VSrpY1u2w
4,2023-09-28T19:59:02Z,2023-09-28T19:59:02Z,Marco Speaks Nadsat,"Gen Z already have the highest depression, anxiety and suicide rates through lack of socialisation and real human relationships. You all think this is a step forward for society?","Gen Z already have the highest depression, anxiety and suicide rates through lack of socialisation and real human relationships. You all think this is a step forward for society?",none,2,UCYvfLVUASWan5Dxe-iXKhMg
5,2023-09-28T19:58:57Z,2023-09-28T19:58:57Z,CKERA,"It's pretty magical. Combine that with an AI version of dead loved ones and you have millions of ""immortal people"" interacting with the living world and having a real impact on it.",It&#39;s pretty magical. Combine that with an AI version of dead loved ones and you have millions of &quot;immortal people&quot; interacting with the living world and having a real impact on it.,none,1,UCMM6jA6XZmVjbquarL6IFhQ
6,2023-09-28T19:58:57Z,2023-09-28T19:58:57Z,syx8op,"This is awesome, thanks meta","This is awesome, thanks meta",none,0,UCfjJkNCf3lQZOs6R4WgTlSg
7,2023-09-28T19:58:57Z,2023-09-28T19:58:57Z,eLmasten,"Holy smokes this is amazing and scary at the same time.
I'm 32 and looking at how games have evolved from when I was a teenager.... I cant even imagine how games will look like when I'm 50",Holy smokes this is amazing and scary at the same time.<br>I&#39;m 32 and looking at how games have evolved from when I was a teenager.... I cant even imagine how games will look like when I&#39;m 50,none,5,UCMUF6XjNLAHYMNWFqJq0o0w
8,2023-09-28T19:58:50Z,2023-09-28T19:58:50Z,Watt.patrick,This is very cool. But i feel like it would have shown better having some kind of room in the background. Being in a virtual environment is kind of the point. Otherwise a video call works fine.,This is very cool. But i feel like it would have shown better having some kind of room in the background. Being in a virtual environment is kind of the point. Otherwise a video call works fine.,none,0,UC4z73d_QUtVBDecVSSg7yeA
9,2023-09-28T19:58:46Z,2023-09-28T19:58:46Z,First Principle,"""This is truly incredible."" --Lex",&quot;This is truly incredible.&quot; --Lex,none,0,UCHFTzUiru7o7xr6xVkaY0Kw
10,2023-09-28T19:58:40Z,2023-09-28T19:58:40Z,Valery I,This is magnificent,This is magnificent,none,0,UCNPzI1rRpQBOyMyWAhscFUw
11,2023-09-28T19:58:31Z,2023-09-28T19:58:31Z,Golgibaby,Wowweewowwowwow. Amazing.,Wowweewowwowwow. Amazing.,none,0,UCHp384j0zZWKnZVFrd6rDNA
12,2023-09-28T19:58:26Z,2023-09-28T19:58:26Z,Xhantie ZA,"Didn't expect this to have advanced this much by this time, it's terrifying and exciting at the same time.","Didn&#39;t expect this to have advanced this much by this time, it&#39;s terrifying and exciting at the same time.",none,84,UCKxp-ImN65sQ6yI8tnnZizA
13,2023-09-28T19:58:22Z,2023-09-28T19:58:22Z,See Dee Beats,"I noticed that filters are part of it, Mark teeth are whiters and there s almost no shadows under his eyes, catfishers, your dream became real (almost)","I noticed that filters are part of it, Mark teeth are whiters and there s almost no shadows under his eyes, catfishers, your dream became real (almost)",none,0,UCHTDOgqISxo73MecWoAtLjA
14,2023-09-28T19:58:13Z,2023-09-28T19:58:13Z,Sweet F.A.,WERE IN THE OASIS,WERE IN THE OASIS,none,0,UCaS_8I3JCBW4DgFcEwyIgPg
15,2023-09-28T19:58:04Z,2023-09-28T19:58:04Z,Hurly D'souza,@lexfridman why are you not wearing your suit and tie?,@lexfridman why are you not wearing your suit and tie?,none,0,UCohgVdGnTiqXUJU-szj0yuA
16,2023-09-28T19:58:03Z,2023-09-28T19:58:03Z,Acadian joe,Oh the video games to come will be even more epic !,Oh the video games to come will be even more epic !,none,0,UCCpYc5JfvsZep-BwXWcngJQ
17,2023-09-28T19:57:55Z,2023-09-28T19:57:55Z,KAD BALL,Wow this is amazing. Can’t wait to see where this goes.,Wow this is amazing. Can’t wait to see where this goes.,none,3,UCptFLFBJwZqOSWdthRLvbPA
18,2023-09-28T19:57:31Z,2023-09-28T19:57:31Z,Adam Grant,"what's the point? why would you talk to a creepy uncanny valley version of your mom when you can see her ACTUAL FACIAL expressions by facetiming her... the fact that so many people are unable to see the blatant redundancy of this amazing yet pointless feat of technology is baffling, have you seen the Matrux BTW? the good guys tried to scape from a virtual reality...","what&#39;s the point? why would you talk to a creepy uncanny valley version of your mom when you can see her ACTUAL FACIAL expressions by facetiming her... the fact that so many people are unable to see the blatant redundancy of this amazing yet pointless feat of technology is baffling, have you seen the Matrux BTW? the good guys tried to scape from a virtual reality...",none,1,UCVC70H4FbjKSXouAoeUUCJA
19,2023-09-28T19:57:27Z,2023-09-28T19:57:27Z,Garrett Honeycutt,Enter the Matrix,Enter the Matrix,none,0,UC58488hby_FrjhkEb30PBsQ
20,2023-09-28T19:57:08Z,2023-09-28T19:57:08Z,Christie H.,What a time to be alive!,What a time to be alive!,none,4,UC8o3VAfqV8kpme883nMC9FA
21,2023-09-28T19:57:07Z,2023-09-28T19:57:07Z,Simon Void,Why are Marks ears wiggling like this? XD,Why are Marks ears wiggling like this? XD,none,0,UCmqvvpku7Z0hAHUlgFtaURg
22,2023-09-28T19:56:59Z,2023-09-28T19:56:59Z,Aaron Davis,This is smarter/better than anything they could have demonstrated at Connect,This is smarter/better than anything they could have demonstrated at Connect,none,0,UClc8wqJ6mnCR4xZzs5dbY9A
23,2023-09-28T19:56:44Z,2023-09-28T19:56:44Z,B en D,"Would loved to have seen a wink.
What happens if you stretch your face beyond what was mapped in the scan?
How do you differentiate between a recorded codec avatar and live?
If you wake up from sleep in the Metaverse, will you be notified you are in an augmented reality?
What happens if someone dies or has a medical emergency in the Metaverse?
How does this extend the period of grief and moving on with your life from losing a relationship with someone you can still interact with recordings of in the Metaverse?
Will aging be captured in a new scan or artificially updated?","Would loved to have seen a wink.<br>What happens if you stretch your face beyond what was mapped in the scan?<br>How do you differentiate between a recorded codec avatar and live?<br>If you wake up from sleep in the Metaverse, will you be notified you are in an augmented reality?<br>What happens if someone dies or has a medical emergency in the Metaverse?<br>How does this extend the period of grief and moving on with your life from losing a relationship with someone you can still interact with recordings of in the Metaverse?<br>Will aging be captured in a new scan or artificially updated?",none,0,UCohyGMeYxPfe6P3WQArbuLA
24,2023-09-28T19:56:41Z,2023-09-28T19:56:41Z,Roba Saibot,🤯,🤯,none,1,UCXybHGl72AO0vNGvpJ3PUMg
25,2023-09-28T19:56:37Z,2023-09-28T19:56:37Z,Eagleguy7,this is a drastic improvement over what Metaverse was lol,this is a drastic improvement over what Metaverse was lol,none,2,UCNoNjXkKE8MyorSh7WT1Q2Q
26,2023-09-28T19:56:36Z,2023-09-28T19:56:36Z,Casanico,"Facebook was creepy enough, this is insane Matrix pod ish.  Anyone can go ahead and stop this now.","Facebook was creepy enough, this is insane Matrix pod ish.  Anyone can go ahead and stop this now.",none,0,UCZLQQpyGaKc8cbe3jzumPOA
27,2023-09-28T19:56:34Z,2023-09-28T19:56:34Z,tiefensucht,An ego shooter with real avatars would be fun too :D,An ego shooter with real avatars would be fun too :D,none,0,UClT3vl7-7Nu8hp_VhsMQ8XQ
28,2023-09-28T19:56:26Z,2023-09-28T19:56:26Z,rufex2001,It’s be cool to see this tech being used by people with actual facial expressions,It’s be cool to see this tech being used by people with actual facial expressions,none,0,UCAwF0H2s0DAGRJ6Vv48-llg
29,2023-09-28T19:56:02Z,2023-09-28T19:56:02Z,Ionuţ,can't they just face time?,can&#39;t they just face time?,none,0,UCVlVh5WuteniDJ2ngSF5W4w
30,2023-09-28T19:56:00Z,2023-09-28T19:56:00Z,trey michaels,"Imagine going to niagra falls or 8 wonders of the world... with a friend or someone this close to you... gonna be LIFE CHANGING. I cant imagine touring the pyramids in this ""world"".",Imagine going to niagra falls or 8 wonders of the world... with a friend or someone this close to you... gonna be LIFE CHANGING. I cant imagine touring the pyramids in this &quot;world&quot;.,none,1,UC7VHIQhcXZQLDORj4POxNCg
31,2023-09-28T19:56:00Z,2023-09-28T19:56:00Z,Don Mills,Zuck the biggest election rigger of all time !,Zuck the biggest election rigger of all time !,none,0,UCsczxYQD7lFGiHmOR1zkgVw
