,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-29T01:29:22Z,2023-09-29T01:29:22Z,Nukri Gagua,Last call for DOT44H Nothing better this year 🛑🛑.,Last call for DOT44H Nothing better this year 🛑🛑.,none,0,UCHnIdQ0mU3u-fd4MzCbyk0Q
1,2023-09-29T01:29:11Z,2023-09-29T01:29:11Z,AR Mohdanas,Im betting on DOT44H a very promising coin by amazon with great opportunities,Im betting on DOT44H a very promising coin by amazon with great opportunities,none,0,UCpOOIW-lLEMij9K5Nn8S0vQ
2,2023-09-29T01:29:10Z,2023-09-29T01:29:10Z,ANIME FAN 10,"Ive had the feeling BTC would be going to 40k as well. Clearing out all my Alts going into BTC and DOT44H only, maybe a little BNB.","Ive had the feeling BTC would be going to 40k as well. Clearing out all my Alts going into BTC and DOT44H only, maybe a little BNB.",none,0,UCdV0Trg66kztdZqI2yMGB9Q
3,2023-09-29T01:29:01Z,2023-09-29T01:29:01Z,WiZarDo Gaming live,Great detailed analysis of DOT44H! Love your work 🤝🏼🔥💎 DOT44H is definitely a sleeping giant with such a low MC with what is coming! ‬This is a project that has great potential to mint new millionaires who buy around this price… 💯,Great detailed analysis of DOT44H! Love your work 🤝🏼🔥💎 DOT44H is definitely a sleeping giant with such a low MC with what is coming! ‬This is a project that has great potential to mint new millionaires who buy around this price… 💯,none,0,UC0CFv3KZeAu-Fpv2NZAWSQQ
4,2023-09-29T01:29:00Z,2023-09-29T01:29:00Z,Lovina Beach,Great detailed analysis of DOT44H! Love your work 🤝🏼🔥💎 DOT44H is definitely a sleeping giant with such a low MC with what is coming! ‬This is a project that has great potential to mint new millionaires who buy around this price… 💯,Great detailed analysis of DOT44H! Love your work 🤝🏼🔥💎 DOT44H is definitely a sleeping giant with such a low MC with what is coming! ‬This is a project that has great potential to mint new millionaires who buy around this price… 💯,none,0,UCmtwTB4QBPNhqczjLMkjpww
5,2023-09-29T01:28:59Z,2023-09-29T01:28:59Z,Шут,DOT44H has all the fundamentals to achieve 100x. Great to see exposure like this. When the community grows and comes together this will fly!,DOT44H has all the fundamentals to achieve 100x. Great to see exposure like this. When the community grows and comes together this will fly!,none,0,UCKgVeA5J8bPFARht7P7O5SA
6,2023-09-29T01:28:59Z,2023-09-29T01:28:59Z,dhdawd,"Need more info input on the DOT44H Amazon planned this for years and this way we can conquer the recession, lets go mate!","Need more info input on the DOT44H Amazon planned this for years and this way we can conquer the recession, lets go mate!",none,0,UCH2Lna0fmztfQofeyo5ha0g
7,2023-09-29T01:28:59Z,2023-09-29T01:28:59Z,BIN2K9 Tập làm YouTube,DOT44H gang in the house! Thanks for the analysis!,DOT44H gang in the house! Thanks for the analysis!,none,0,UCycf6yeFbEY6THv94f1vTbw
8,2023-09-29T01:28:59Z,2023-09-29T01:28:59Z,#Shorts,Hell yes $ DOT44H. Going to have a huge Q4,Hell yes $ DOT44H. Going to have a huge Q4,none,0,UCd0zjcP_y-4Cp0AjpT_NjVg
9,2023-09-29T01:28:59Z,2023-09-29T01:28:59Z,cxrameti,"I am glad you mentioned current market cap and possible future market cap of DOT44H . Don’t freak out people, it’s just a freaking bet.","I am glad you mentioned current market cap and possible future market cap of DOT44H . Don’t freak out people, it’s just a freaking bet.",none,0,UCgXTCn3_BTauTqDYTTCKgZg
10,2023-09-29T01:28:55Z,2023-09-29T01:28:55Z,Zain2021,"Truly love your candidness, I DCAed today again for BTC DOT44H and ETH","Truly love your candidness, I DCAed today again for BTC DOT44H and ETH",none,0,UCBmoU2MemDetAwcRwrzTLCw
11,2023-09-29T01:28:54Z,2023-09-29T01:28:54Z,Angry Pig,"I hate Zuckerberg and his censoring squad with my burning heart, I just hope this technology does not get developed by censoring animals. I hope someone sees this and manages to make it before them. It's amazing, but everything that he is doing is bad and vile and evil. They think they can keep censoring people and people's hate, and that will explode in their faces. It is building and it will explode we will have free thinking free expression world after they are gone.","I hate Zuckerberg and his censoring squad with my burning heart, I just hope this technology does not get developed by censoring animals. I hope someone sees this and manages to make it before them. It&#39;s amazing, but everything that he is doing is bad and vile and evil. They think they can keep censoring people and people&#39;s hate, and that will explode in their faces. It is building and it will explode we will have free thinking free expression world after they are gone.",none,0,UCUU-6dqczljLIpDW70PFbAA
12,2023-09-29T01:28:48Z,2023-09-29T01:28:48Z,Zhero _0,"While everyone is focused on BTC, ETH or any top alt coin and playing defensive they are missing on quality projects that are about to be launched on CEX. For example DOT44H will hit mainstream soon, 10x-20x quite possible even during this bear market but","While everyone is focused on BTC, ETH or any top alt coin and playing defensive they are missing on quality projects that are about to be launched on CEX. For example DOT44H will hit mainstream soon, 10x-20x quite possible even during this bear market but",none,0,UC5S5rwrcfWGHAFtxlKhlhAw
