,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-29T03:14:41Z,2023-09-29T03:14:41Z,The Zeerak Show,Lex you're weird,Lex you&#39;re weird,none,0,UC_tEPksVQatRhgPTCDFsmXg
1,2023-09-29T03:14:37Z,2023-09-29T03:14:37Z,OutrunCitizen,"Handwaving the expensive scan, the way they are interacting sounds better then two guys on a zoom call, so that that's pretty cool","Handwaving the expensive scan, the way they are interacting sounds better then two guys on a zoom call, so that that&#39;s pretty cool",none,0,UCp2hVitiuib4kv4CvDSjjPQ
2,2023-09-29T03:14:15Z,2023-09-29T03:14:15Z,nonamesl3f7duuude,How do you dare do this demo and not pan out to reveal a virtual world and go for a wal!?! Sheesh!,How do you dare do this demo and not pan out to reveal a virtual world and go for a wal!?! Sheesh!,none,0,UCvSK2s5OBYwEqaxN1-gjqZA
3,2023-09-29T03:14:13Z,2023-09-29T03:14:13Z,Paul,Mark “I get critique and shit” Zuckerberg,Mark “I get critique and shit” Zuckerberg,none,0,UCRfCtAySVIV3F6DB-26dLgQ
4,2023-09-29T03:13:43Z,2023-09-29T03:13:43Z,Johnny Jericho,The two people with the least facial expressions on earth talking about how important facial expressions are.,The two people with the least facial expressions on earth talking about how important facial expressions are.,none,1,UCWHx2vbTHK9F6zkehR64Ecg
5,2023-09-29T03:13:34Z,2023-09-29T03:13:34Z,James K,Hats off mark,Hats off mark,none,0,UCu2ODHe1nqa4oHQyYTFfYCw
6,2023-09-29T03:13:34Z,2023-09-29T03:13:34Z,Buyth Edip,I am blown away…. How do we invest in this?,I am blown away…. How do we invest in this?,none,0,UCMNAHv0JNTEiUvUDIdRfDYQ
7,2023-09-29T03:12:28Z,2023-09-29T03:12:28Z,Hussain,Lex really close to you feels scarry 😂😂 lv you lex ❤❤,Lex really close to you feels scarry 😂😂 lv you lex ❤❤,none,0,UCUcYVD2i7U9lEPOZu8-JQhQ
8,2023-09-29T03:12:24Z,2023-09-29T03:12:24Z,JustChan,Just give it 5 or 10 years and VRChat or games like it are going to be nuts,Just give it 5 or 10 years and VRChat or games like it are going to be nuts,none,0,UCWTqJpkDqgNlTgg3sOAlKGA
9,2023-09-29T03:12:23Z,2023-09-29T03:12:23Z,Justin Argoe,"Well, you just lost me lex. Goodluck dude","Well, you just lost me lex. Goodluck dude",none,0,UC0u8g71UEs_Qej7NdsJy6lQ
10,2023-09-29T03:12:16Z,2023-09-29T03:12:16Z,Andriy Rudnyk,More eye contact in an hour than whole 2 lifetimes combined lol,More eye contact in an hour than whole 2 lifetimes combined lol,none,0,UCPjwV060nrJ54JfMnDVRHgw
11,2023-09-29T03:11:59Z,2023-09-29T03:11:59Z,Hussain,Motherfker blowed my mind,Motherfker blowed my mind,none,0,UCUcYVD2i7U9lEPOZu8-JQhQ
12,2023-09-29T03:11:11Z,2023-09-29T03:11:11Z,Jamsen Banch,"With ultra realistic 
FACE",With ultra realistic <br>FACE,none,1,UCU_rUtXveNDTNIIVr1k7CpA
13,2023-09-29T03:10:09Z,2023-09-29T03:10:09Z,Clark Nowlin,We’re literally watching robots talk about humans,We’re literally watching robots talk about humans,none,0,UCgxCWSddklP4PZUXOeUeRcA
14,2023-09-29T03:09:56Z,2023-09-29T03:09:56Z,George William,If this is a computer simulation of different expressions then it as a fake computer generated we will generate the emotion we want the community to see. NO FUCKINBG THANK YOU,If this is a computer simulation of different expressions then it as a fake computer generated we will generate the emotion we want the community to see. NO FUCKINBG THANK YOU,none,0,UCiPhkcW1iq1et4VVrBQvRpA
15,2023-09-29T03:09:52Z,2023-09-29T03:09:52Z,ichtoza vuzovsky,"@lexfridman, could you upload a 3D version of this?","@lexfridman, could you upload a 3D version of this?",none,0,UC5iCJvUx8PsKlAOLMMJMwGA
16,2023-09-29T03:09:48Z,2023-09-29T03:09:48Z,Vishnu,Future is here and approaching fast.,Future is here and approaching fast.,none,0,UC0_TlSmzZvHM-F7S_RbWKKQ
17,2023-09-29T03:09:34Z,2023-09-29T03:09:34Z,Bombyx mori,highkey insane technology has gone so far,highkey insane technology has gone so far,none,0,UCQqE_NSQm560C05D-d-VzeQ
18,2023-09-29T03:09:27Z,2023-09-29T03:09:27Z,Christopher E,The beginning of the end of human compassion.,The beginning of the end of human compassion.,none,0,UCLe3s4uaYwz9bu9dDhBZLOg
19,2023-09-29T03:09:05Z,2023-09-29T03:09:05Z,Drift Advocate,goyslop for the peasants yayyyy,goyslop for the peasants yayyyy,none,0,UCsWPKHL30Ua6dFVXxYnKdmw
20,2023-09-29T03:08:46Z,2023-09-29T03:08:46Z,SpenserFL,Wow it looks quite good,Wow it looks quite good,none,0,UCOI92veAkw5ZOQBvDfhcmxw
21,2023-09-29T03:08:40Z,2023-09-29T03:08:40Z,Pat Rowan,"OK, this is new.","OK, this is new.",none,0,UCqL1pY-1z3MiBbI9KTi5E-g
22,2023-09-29T03:08:32Z,2023-09-29T03:08:32Z,Rishabh Tripathi,I Bet on it this product is going to dominate the world this is increadable my god so realistic experiance in real time,I Bet on it this product is going to dominate the world this is increadable my god so realistic experiance in real time,none,0,UCnhORtXWT7blWeOImMEa1DA
23,2023-09-29T03:08:04Z,2023-09-29T03:08:04Z,Vegas Web Geek,Wow... Awesome metaverse experience,Wow... Awesome metaverse experience,none,0,UCV8rmC72eSj0dZoLNnnB01A
