,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-29T10:27:48Z,2023-09-29T10:27:48Z,Winwin Milieudefensie,Virtual ping pong is horrible,Virtual ping pong is horrible,none,0,UCW0Ay6CXQ3tsNLiStLm46MQ
1,2023-09-29T10:27:28Z,2023-09-29T10:27:28Z,Nicholas Koffler,"Cool technology, not cool enough to convince enough people to strap a brick to their faces for meta to break even.","Cool technology, not cool enough to convince enough people to strap a brick to their faces for meta to break even.",none,1,UC9kcWhBmK9ZSqC3xy1Ug2EA
2,2023-09-29T10:27:14Z,2023-09-29T10:27:14Z,Jay Bisht,"I didn't even know I was waiting for this😅, but now I really do","I didn&#39;t even know I was waiting for this😅, but now I really do",none,0,UCNNZacP2lzxPIKqO0FggJRg
3,2023-09-29T10:27:13Z,2023-09-29T10:27:13Z,Constantin Cozma,Are they using Epic`s technology or is it all 100% Meta stuff?,Are they using Epic`s technology or is it all 100% Meta stuff?,none,0,UCNgobStRWMXfRkYL91vy1iA
4,2023-09-29T10:26:59Z,2023-09-29T10:35:02Z,Yin over Yang,"Something strange here, Freeze frame at 11:27. Marks face isn't the same on the representation. His real smile is wider, facial creases deeper, more of a ""nervous smile"". It's been altered. Earlier he mentions ""how much do you want to smile?"" There's been some fiddling here, someone has tried to alter the way his face appears in the representation. His CG face also has a weird textural blurring and the light discrepancy, especially around the mouth area . Whereas Lex's face is pretty accurate.","Something strange here, Freeze frame at <a href=""https://www.youtube.com/watch?v=MVYrJJNdrEg&amp;t=11m27s"">11:27</a>. Marks face isn&#39;t the same on the representation. His real smile is wider, facial creases deeper, more of a &quot;nervous smile&quot;. It&#39;s been altered. Earlier he mentions &quot;how much do you want to smile?&quot; There&#39;s been some fiddling here, someone has tried to alter the way his face appears in the representation. His CG face also has a weird textural blurring and the light discrepancy, especially around the mouth area . Whereas Lex&#39;s face is pretty accurate.",none,0,UCkoSL2frVeptlMd3FxVEU8A
5,2023-09-29T10:26:45Z,2023-09-29T10:26:45Z,AJ,"This is the beginning of the hologram technology era. I can see this technology making an impact in various industries and applications. 
Exciting time ahead.",This is the beginning of the hologram technology era. I can see this technology making an impact in various industries and applications. <br>Exciting time ahead.,none,0,UCZysh0EM0sdGjhDiC7Wu23g
6,2023-09-29T10:26:39Z,2023-09-29T10:26:39Z,Julie Jedwab,"WTAF ?!!!
I’m not feeling that this progress ……Creepy  at best",WTAF ?!!!<br>I’m not feeling that this progress ……Creepy  at best,none,0,UCMq2fKIVM16rpOEbwtQKqJg
7,2023-09-29T10:26:09Z,2023-09-29T10:26:09Z,Yic17,"VR has always been waiting for this moment - photorealistic graphics. 10 years into the future, everyone's going to be spending lots of their time in VR worlds.","VR has always been waiting for this moment - photorealistic graphics. 10 years into the future, everyone&#39;s going to be spending lots of their time in VR worlds.",none,0,UCOts2xK52eeu61LSQTS8qOw
8,2023-09-29T10:24:56Z,2023-09-29T10:24:56Z,Constantin Cozma,"There is just a slightly odd look about the the eyes when they are not moving, other than that its impressive!","There is just a slightly odd look about the the eyes when they are not moving, other than that its impressive!",none,0,UCNgobStRWMXfRkYL91vy1iA
9,2023-09-29T10:24:37Z,2023-09-29T10:24:37Z,C W,On the metaverse no one knows you’re a lizard,On the metaverse no one knows you’re a lizard,none,1,UCxAggm0UlXF7HCUaPBoojJA
