,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-29T09:04:52Z,2023-09-29T09:04:52Z,☯𝖓𝖆𝖓𝖓𝖊𝖘𝖔𝖆𝖗☯,"Mark Zuckerberg has achieved SO MUCH, he's a massive inspiration.","Mark Zuckerberg has achieved SO MUCH, he&#39;s a massive inspiration.",none,1,UCbAqQghwv8hs7th3wQbLpGw
1,2023-09-29T09:03:48Z,2023-09-29T09:03:48Z,Adam Hakizimana,Lex has stolen the whole Youtube show with a creative idea. Always be the first to do something!,Lex has stolen the whole Youtube show with a creative idea. Always be the first to do something!,none,0,UC83yFPW-B2URGO-7as8HFiw
2,2023-09-29T09:03:01Z,2023-09-29T09:03:01Z,Andrew Sario,Its a generation of what they would look like instead of video 😮,Its a generation of what they would look like instead of video 😮,none,0,UCkRaCk_e8dqz0wuQJNAU0-Q
3,2023-09-29T09:01:22Z,2023-09-29T09:01:22Z,z,Holy shit,Holy shit,none,0,UCK7ljUd8OMuZ7jTsKqNBsWw
4,2023-09-29T09:01:17Z,2023-09-29T09:01:17Z,aresmars2003,"Nice. I agree mixed view, augmented reality is the future. Add virtual objects into the real world.","Nice. I agree mixed view, augmented reality is the future. Add virtual objects into the real world.",none,0,UC0T9GQAIzPPc83ws_YNlhFA
5,2023-09-29T09:01:13Z,2023-09-29T09:01:13Z,CoconutRice,"Sure, this is cool as hell, but how are people okay with giving their whole physique away that could be stolen and used against you?","Sure, this is cool as hell, but how are people okay with giving their whole physique away that could be stolen and used against you?",none,0,UCg0oh64v7HQButZ696mZlxA
6,2023-09-29T09:00:55Z,2023-09-29T09:03:10Z,Shaaban Daudi,"So the hands aren't yet designed 😂, you can express anything with them without being seen","So the hands aren&#39;t yet designed 😂, you can express anything with them without being seen",none,0,UCU4T-2Y99nIHJSCox1oD3aQ
7,2023-09-29T09:00:47Z,2023-09-29T09:00:47Z,TB,Could of just face timed him?,Could of just face timed him?,none,0,UCj0zLqi_-VJLis5u_fjSIkQ
8,2023-09-29T08:59:10Z,2023-09-29T08:59:10Z,George St. Pierre,crazy,crazy,none,0,UCMGqWU6i05NNyBw_JSMzzNw
9,2023-09-29T08:59:05Z,2023-09-29T08:59:05Z,Douglas Dulac,Science Fiction is coming to the forefront.,Science Fiction is coming to the forefront.,none,0,UC0525k_s4_60b5o2DnCqZww
10,2023-09-29T08:57:56Z,2023-09-29T08:57:56Z,Swin,Thats just fucking amazing,Thats just fucking amazing,none,0,UC5xk_2f8QIGLrv-1wV5vtbw
11,2023-09-29T08:57:33Z,2023-09-29T08:57:33Z,streglof,I don't think it's a good idea to be able to talk with the deceased. In almost every story where the dead are brought back to life something really bad happens. There's a lesson in that. The dead are supposed to stay dead.,I don&#39;t think it&#39;s a good idea to be able to talk with the deceased. In almost every story where the dead are brought back to life something really bad happens. There&#39;s a lesson in that. The dead are supposed to stay dead.,none,0,UCN0rKx5DIYilgkcv3siM7zw
12,2023-09-29T08:56:27Z,2023-09-29T08:56:27Z,Chris Walker,"Mark, it definitely translated to 2D 😄 Lex's constant speechlessness may not been a great interviewing on the technicalities of what was being said, but it made me a believer","Mark, it definitely translated to 2D 😄 Lex&#39;s constant speechlessness may not been a great interviewing on the technicalities of what was being said, but it made me a believer",none,2,UCifK7c3FKLYhZg8GWPEvp-g
13,2023-09-29T08:56:21Z,2023-09-29T08:56:21Z,Dance Monkey,What the f is this?,What the f is this?,none,0,UCTNv_9lmLvjFCfTc4RDU4_w
14,2023-09-29T08:56:15Z,2023-09-29T09:04:40Z,TechieAdam,"Exciting thinking how this will bring people together. 

I have been wondering for a while how HS2 will fare in the UK when technologies like this are looming. Billions on a train that results in a comparable experience to future ubiquitous mixed reality. There may be a number of traditional infrastructures that are disrupted by this.",Exciting thinking how this will bring people together. <br><br>I have been wondering for a while how HS2 will fare in the UK when technologies like this are looming. Billions on a train that results in a comparable experience to future ubiquitous mixed reality. There may be a number of traditional infrastructures that are disrupted by this.,none,1,UCyT_SNoMMfjKs4kmVQYEM8g
15,2023-09-29T08:55:38Z,2023-09-29T08:55:38Z,Paweł Weremiuk,"The best of it we don't see - seeing a person you speak with in fp pov in vr. Quality will improve. The environment set with few people inside, sitting in one ""space"" and talking - Wow!","The best of it we don&#39;t see - seeing a person you speak with in fp pov in vr. Quality will improve. The environment set with few people inside, sitting in one &quot;space&quot; and talking - Wow!",none,0,UCxWF1CJDb8Fb7rcOJr6j6VA
