,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-28T19:03:55Z,2023-09-28T19:03:55Z,AVIRATH👁️,From a 3D and VFX background! This is fucking Groundbreaking! I’m truly Mindblown! All this REAL TIME ? JHEEZ! We are already in it Guys!,From a 3D and VFX background! This is fucking Groundbreaking! I’m truly Mindblown! All this REAL TIME ? JHEEZ! We are already in it Guys!,none,1,UCcIa8XdIeDjKpkZUfsRm6sA
1,2023-09-28T19:03:47Z,2023-09-28T19:03:47Z,Pedro Coelho,Yeah! The future of OnlyFans!,Yeah! The future of OnlyFans!,none,0,UCONAZn5D2tEUD7GSST6aOzw
2,2023-09-28T19:03:45Z,2023-09-28T19:03:45Z,katrina evans,Why would you want to look plastic or made of stone,Why would you want to look plastic or made of stone,none,0,UChweyH9-QA-qrruyjOrv_TA
3,2023-09-28T19:03:39Z,2023-09-28T19:03:39Z,Dogecoinx,Serial experiment Lain vibes,Serial experiment Lain vibes,none,0,UC593VJm-1pehi5cnjfNMr4w
4,2023-09-28T19:03:30Z,2023-09-28T19:03:30Z,TheMostWanted774,Can you please enable captions? It really helps with accessibility. Thank you!,Can you please enable captions? It really helps with accessibility. Thank you!,none,0,UCnCUujVan-bQzop_KQ31xUw
5,2023-09-28T19:03:22Z,2023-09-28T19:03:22Z,Kārlis Kalvišs,I don't know how would I feel if my face scan would be leaked and end up as a NPCs face in some video game 10-15 years from now.,I don&#39;t know how would I feel if my face scan would be leaked and end up as a NPCs face in some video game 10-15 years from now.,none,1,UCqLdmaXuWsH-CFQ_iKc8Izg
6,2023-09-28T19:03:17Z,2023-09-28T19:03:17Z,StopListenThink,"Wow…. But I’m still mad at you Mark, for banning me from Facebook. I was only running the page and I was very vocal, but that’s not reason to Band","Wow…. But I’m still mad at you Mark, for banning me from Facebook. I was only running the page and I was very vocal, but that’s not reason to Band",none,0,UCyUlvSZKI6-fwMhyYeQWO5A
7,2023-09-28T19:03:03Z,2023-09-28T19:03:03Z,jmb,Lex Friedman AI generated shows more emotions than Lex Friedman human,Lex Friedman AI generated shows more emotions than Lex Friedman human,none,0,UCTWjAs_vDIvvSMVWRnMgGzg
8,2023-09-28T19:03:01Z,2023-09-28T19:03:01Z,Physixtential,I wonder if it was intentional that they used the two most expressionless people on earth for the first demo lmfao.,I wonder if it was intentional that they used the two most expressionless people on earth for the first demo lmfao.,none,0,UCS20joPaWLH1UoxqPJerS5g
9,2023-09-28T19:03:00Z,2023-09-28T19:03:00Z,David Renger,"Wait, so Lex was seeing the physical space around him with Mark superimposed? Would have been cool to see that perspective instead of a black background.","Wait, so Lex was seeing the physical space around him with Mark superimposed? Would have been cool to see that perspective instead of a black background.",none,0,UCcXqTNgW963FP5TezeLRzQQ
10,2023-09-28T19:02:41Z,2023-09-28T19:02:41Z,Septure,my god its happening,my god its happening,none,0,UCWd8YAf171Z7Bkl7lLjdyKw
11,2023-09-28T19:02:38Z,2023-09-28T19:02:38Z,Timothy Catan,"This is incredible. Please keep going with this, Mark!","This is incredible. Please keep going with this, Mark!",none,10,UCk8jCgvovT4SA4IcsCvKO8A
12,2023-09-28T19:02:37Z,2023-09-28T19:02:37Z,Radu Turcan,Very nice! But where is the suit?,Very nice! But where is the suit?,none,0,UCiJTVZ1ZUH1BYTNvfzln1Ng
13,2023-09-28T19:02:34Z,2023-09-28T19:02:34Z,David Torres,"Perhaps, we already are in an advanced simulation.","Perhaps, we already are in an advanced simulation.",none,1,UCk3eLd2FuoSgl-F7sYLaorA
14,2023-09-28T19:02:31Z,2023-09-28T19:02:31Z,Richard Britton,WOW! 😮😮😮,WOW! 😮😮😮,none,0,UCW9QvEANcgTXJ2-Y5PUs5ww
15,2023-09-28T19:02:27Z,2023-09-28T19:02:27Z,BUNE,shut up and take my money!,shut up and take my money!,none,1,UC214WiMep3ckGr-01NU_7wg
16,2023-09-28T19:02:17Z,2023-09-28T19:02:17Z,zaftnotameni,jokes aside that's truly incredible,jokes aside that&#39;s truly incredible,none,1,UCugLZlqDL5hv-3XrQjxjJlg
17,2023-09-28T19:02:15Z,2023-09-28T19:02:15Z,Maks,Matrix has you,Matrix has you,none,1,UCaI2u_Po8LRn_UnKqZxSIEA
18,2023-09-28T19:01:55Z,2023-09-28T19:01:55Z,sparkleybitz,When you do the scan do you own you scan or do you hand it over to a corporation?,When you do the scan do you own you scan or do you hand it over to a corporation?,none,0,UCYaWQDoRbKy_CrOz1AxNzkQ
19,2023-09-28T19:01:53Z,2023-09-28T19:01:53Z,Rajonas007,Holly cow!,Holly cow!,none,0,UCF2sDo2dhJqgOxnNcf6aw4g
20,2023-09-28T19:01:53Z,2023-09-28T19:01:53Z,Jake Teel,"This is incredible, the future is finally here.","This is incredible, the future is finally here.",none,0,UCdB5Wxit_I_U-qe0me0Lc0g
21,2023-09-28T19:01:52Z,2023-09-28T19:01:52Z,J,This is so incredibly beautiful and inspiring. What a big leap in VR.,This is so incredibly beautiful and inspiring. What a big leap in VR.,none,26,UCA3lm5jcy63eZa5E-CsgU8w
22,2023-09-28T19:01:42Z,2023-09-28T19:01:42Z,Tyler Patterson,I think Lex is a fan of this technology,I think Lex is a fan of this technology,none,0,UCcHVRDc9CUdNwNIXULzKySg
23,2023-09-28T19:01:33Z,2023-09-28T19:01:33Z,Leeroy Jenkins,onlyfans VR package for 100 bucks a month,onlyfans VR package for 100 bucks a month,none,0,UCu3f84c_X17WfrVSuF-IMWA
24,2023-09-28T19:01:32Z,2023-09-28T19:01:32Z,gripped,wtf happened to you lex....,wtf happened to you lex....,none,0,UCh9I1jadJ0mdsmoCInn-ifg
25,2023-09-28T19:01:32Z,2023-09-28T19:01:32Z,kik locus,finally no more Lincoln suit,finally no more Lincoln suit,none,0,UC9vDPE-WQF1zi2tj89eKZGA
26,2023-09-28T19:01:13Z,2023-09-28T19:01:13Z,Mohammed Ahmed,Its nice to see mark Zuckerberg being interviewed by an AI in his true form,Its nice to see mark Zuckerberg being interviewed by an AI in his true form,none,0,UCYiSjMehxZiD4TmbZh63RrQ
27,2023-09-28T19:01:08Z,2023-09-28T19:01:08Z,Sage Akporherhe,"Now, this is groundbreaking technology.","Now, this is groundbreaking technology.",none,0,UClpyHvTlPuD82OfpKn09LQA
28,2023-09-28T19:01:08Z,2023-09-28T19:01:08Z,Wes_ York,Woah,Woah,none,0,UCSCw2cgPjI4_NY6T2qskllA
29,2023-09-28T19:01:04Z,2023-09-28T19:01:04Z,MaxUgly,I can't wait for the PINGTR1P video!,I can&#39;t wait for the PINGTR1P video!,none,0,UCrMg-jKzupK35LwGmZxN7kA
