,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-28T22:26:11Z,2023-09-28T22:26:11Z,"Nihao, MrZhang",What does Lex looks more realistic than Mark?,What does Lex looks more realistic than Mark?,none,0,UCVnZcZrCU3vNfeqU3zD3qbg
1,2023-09-28T22:26:07Z,2023-09-28T22:26:07Z,Lookup VeraZhou,Plot twist:  Lex *wasn't* interviewing Zuckerberg.,Plot twist:  Lex <b>wasn&#39;t</b> interviewing Zuckerberg.,none,0,UCij5R-IvQsDzbG67yNID0ZQ
2,2023-09-28T22:25:51Z,2023-09-28T22:25:51Z,FactSpittin,They’ve officially transcended. Preordering the quest 3 right now. This is the future no doubt,They’ve officially transcended. Preordering the quest 3 right now. This is the future no doubt,none,0,UCFewR8P6KMt2uKfNOGNO_jg
3,2023-09-28T22:25:50Z,2023-09-28T22:25:50Z,TheZagiello,Mr  Zuckerberg is full of shit ... unfortunately.  Take your family on a nice holiday instead of buying this SCAM .,Mr  Zuckerberg is full of shit ... unfortunately.  Take your family on a nice holiday instead of buying this SCAM .,none,0,UCJqJJmtCNfsEnhYCWfyLq7g
4,2023-09-28T22:25:35Z,2023-09-28T22:25:35Z,Rinsed,._____.,._____.,none,0,UCZJFp2vY7ClyKNMzU33KzQw
5,2023-09-28T22:25:27Z,2023-09-28T22:25:27Z,you-know-who!!,Can you release a vr version of this video?,Can you release a vr version of this video?,none,0,UCsgPzEZBx_cplBaMCwNGPJg
6,2023-09-28T22:24:59Z,2023-09-28T22:24:59Z,1987jock,"I'm only half way through but I'm a bit surprised they haven't brought up the matrix, where Neo's avatar self had hair and Switch was a different gender","I&#39;m only half way through but I&#39;m a bit surprised they haven&#39;t brought up the matrix, where Neo&#39;s avatar self had hair and Switch was a different gender",none,0,UCssSMhxhxFuW9pjTVNFkUiA
7,2023-09-28T22:24:51Z,2023-09-28T22:24:51Z,slow88LX,2 robots in their natural state.,2 robots in their natural state.,none,0,UCgPRQIBv0ehwToMvN6q09Kw
8,2023-09-28T22:24:44Z,2023-09-28T22:24:44Z,Space Ponder,creepy,creepy,none,0,UCd5FbDXbnULhbWHkZO4kwKQ
9,2023-09-28T22:24:36Z,2023-09-28T22:24:36Z,Rogi,The future shaped by big corporations sucks!,The future shaped by big corporations sucks!,none,0,UCh0ZEvZ5jipBrOVOpphoI2Q
