,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-29T11:34:57Z,2023-09-29T11:34:57Z,Timothy Hickey,Imagine being able to talk to loved ones that have passed away🤔,Imagine being able to talk to loved ones that have passed away🤔,none,0,UCyF0abQIiDuYn988ffhRFmQ
1,2023-09-29T11:34:36Z,2023-09-29T11:34:36Z,neutral toxic,I hope they paid you a lot to be doing Meta's advertising for them,I hope they paid you a lot to be doing Meta&#39;s advertising for them,none,0,UCd6tSvMzy9_YIXYeBPweW0w
2,2023-09-29T11:34:19Z,2023-09-29T11:34:19Z,InternetDoom,This is a paid ad…,This is a paid ad…,none,1,UCRy8aAJYFQEiYugjtxq9WNA
3,2023-09-29T11:31:34Z,2023-09-29T11:31:34Z,Uwe Pries,"Is it only me orhHow does this 1h+ feel like a 2-3h interview? It gave me goose bumps BTW, awesome interview, for me one of your best!","Is it only me orhHow does this 1h+ feel like a 2-3h interview? It gave me goose bumps BTW, awesome interview, for me one of your best!",none,6,UC7hT15j66yCPsaD5-hgEMTA
4,2023-09-29T11:31:14Z,2023-09-29T11:31:14Z,Sam Hall,It’s the end of the world as we know it,It’s the end of the world as we know it,none,1,UCaKbM1ymWH47mRZT-0LypTg
5,2023-09-29T11:30:46Z,2023-09-29T11:30:46Z,T Teran,So your room & belongings will be scanned for yet more marketing & advertising?? Hide all your stuff prior to turning on the headset.,So your room &amp; belongings will be scanned for yet more marketing &amp; advertising?? Hide all your stuff prior to turning on the headset.,none,1,UCC4v3e21e-PvfTuRA7ZSnpA
6,2023-09-29T11:30:35Z,2023-09-29T11:30:35Z,Edds Mmyeah,This is honestly incredible!! I haven’t been in to vr atall I love technology but haven’t gotten into it as I haven’t put my hand on it !! But this is revolutionary I forget what I’m watching it has almost and I mean seamlessly almost perfectly integrated expression this is verry impressive honestly amazing!! Great work,This is honestly incredible!! I haven’t been in to vr atall I love technology but haven’t gotten into it as I haven’t put my hand on it !! But this is revolutionary I forget what I’m watching it has almost and I mean seamlessly almost perfectly integrated expression this is verry impressive honestly amazing!! Great work,none,4,UC5NhK4ikfcmPUij02zo15Dg
7,2023-09-29T11:29:33Z,2023-09-29T11:29:33Z,Peter Byun,"Props to the team for making this cool technology possible.
I hope to see this being commercialized soon.",Props to the team for making this cool technology possible.<br>I hope to see this being commercialized soon.,none,0,UCfutGYI1l4AdM9Tea10bQoQ
8,2023-09-29T11:29:05Z,2023-09-29T11:29:05Z,Jordan Eubank,The Matrix,The Matrix,none,0,UCWC_FSt8Dv47WLEJW0n79Fw
9,2023-09-29T11:28:08Z,2023-09-29T11:28:08Z,Troy Treleaven,"Lex, you should challenge Zuck to a Jiu-Jitsu match in the Metaverse—loser has to open-source their algorithms!","Lex, you should challenge Zuck to a Jiu-Jitsu match in the Metaverse—loser has to open-source their algorithms!",none,0,UCkoJK7oRHp3q8W2SvhNy2HQ
