,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-28T18:25:39Z,2023-09-28T18:25:39Z,Morgan Coxen,One little thing that i think they could do to improve the immersion is having the adam's apple move with the inflection and tone of voice. Once i noticed that it didn't move the un canny valley really started to kick in for me.,One little thing that i think they could do to improve the immersion is having the adam&#39;s apple move with the inflection and tone of voice. Once i noticed that it didn&#39;t move the un canny valley really started to kick in for me.,none,2,UCoif967ObKo2f1SIxOqI_AQ
1,2023-09-28T18:25:39Z,2023-09-28T18:25:39Z,Milo LaMar,"I gotta be honest, switching back and forth from real video to metaverse view makes me a bit dizzy.","I gotta be honest, switching back and forth from real video to metaverse view makes me a bit dizzy.",none,0,UCkGGsBp9OJZfGstfK8rMSYA
2,2023-09-28T18:25:33Z,2023-09-28T18:25:33Z,Ruan Oosthuysen,Only fans going to fkn explode,Only fans going to fkn explode,none,1,UCmbcsCFb2DaohzDb5V7ceSA
3,2023-09-28T18:25:33Z,2023-09-28T18:25:33Z,Federico Fassio,Blew my mind and will blow the world... interesting stuff ahead,Blew my mind and will blow the world... interesting stuff ahead,none,0,UC8e2qOE0PTi4mWyg_lGWl-Q
4,2023-09-28T18:25:28Z,2023-09-28T18:25:28Z,Edward,I hope Lex asks the tough questions we want to know. Lex is too much of a nice guy and asks soft questions and doesn't Realty push back,I hope Lex asks the tough questions we want to know. Lex is too much of a nice guy and asks soft questions and doesn&#39;t Realty push back,none,5,UCUK93sgwB_C3XGTokyb0gPw
5,2023-09-28T18:25:22Z,2023-09-28T18:25:22Z,JOKER,mark kinda looks cartoonish lol,mark kinda looks cartoonish lol,none,0,UCy2ZPTla1kxndJUbl_OdoZA
6,2023-09-28T18:25:21Z,2023-09-28T18:25:21Z,selamoonshine,"If this is the furure, it is sad.😞","If this is the furure, it is sad.😞",none,1,UCPVUVgraE5Th6buXJXYxybg
7,2023-09-28T18:25:15Z,2023-09-28T18:25:15Z,timvw01,Awesome,Awesome,none,0,UC6_V-BXBn2cveaPJOuvf76g
8,2023-09-28T18:24:46Z,2023-09-28T18:24:46Z,Jorge Baña,"C'mon Lex,don't do this to us....","C&#39;mon Lex,don&#39;t do this to us....",none,1,UCsDFZ5jgro-EbDDACiXdl1g
9,2023-09-28T18:24:36Z,2023-09-28T18:24:36Z,DripDrop's,The start of the conversation was hilarious xD Love you Lex!,The start of the conversation was hilarious xD Love you Lex!,none,4,UCgp6FKZ-RaDRhD3Km59MoYQ
10,2023-09-28T18:24:34Z,2023-09-28T18:24:34Z,couerl,We're all gonna be commies before this happens.,We&#39;re all gonna be commies before this happens.,none,2,UCcNe08H0Dxb-H29e0miqktA
11,2023-09-28T18:24:32Z,2023-09-28T18:24:32Z,r k,Please let this be the end of business travel and goverment employee travel. This elimination of WASTE will save billions of dollars!,Please let this be the end of business travel and goverment employee travel. This elimination of WASTE will save billions of dollars!,none,0,UCGawsvciLdAOfYyXW6OHYMw
12,2023-09-28T18:24:32Z,2023-09-28T18:24:32Z,EpsilonKnight,This is the next level of the porn industry. Get ready for your photorealistic lap dances boys.,This is the next level of the porn industry. Get ready for your photorealistic lap dances boys.,none,0,UCnNkmk-BVnL0s5-ZLYI2H7w
13,2023-09-28T18:24:29Z,2023-09-28T18:24:29Z,MN Websource,Wow the future is here!,Wow the future is here!,none,0,UCu1gDHIwgN5zJddSZUcrQkQ
14,2023-09-28T18:24:21Z,2023-09-28T18:24:21Z,Antoni Grabowski,"My engineering side is thrilled, but my philosophical side is in despair","My engineering side is thrilled, but my philosophical side is in despair",none,19,UCmAwVA9IfgtyYmNMSJvO8qQ
15,2023-09-28T18:24:18Z,2023-09-28T18:24:18Z,Kallussed,Please tell me this whole thing was recorded in VR and will be available on Quest to view in 3D 🙏,Please tell me this whole thing was recorded in VR and will be available on Quest to view in 3D 🙏,none,0,UCT914hhbMM64b4B8ft0SXOA
16,2023-09-28T18:24:15Z,2023-09-28T18:24:15Z,Visible,What’s the difference between this and a video call ?,What’s the difference between this and a video call ?,none,2,UCKtuHY3cRXzUFWYUYP4SrKw
17,2023-09-28T18:24:07Z,2023-09-28T18:24:07Z,JD Sullivan,This is actually fucking so dope,This is actually fucking so dope,none,0,UCjUgqCydMnKdboQrDuwLmEg
18,2023-09-28T18:23:54Z,2023-09-28T18:29:11Z,Cris C,"A lot of people were mocking Mark and his Metaverse project. With this, now, for sure, we, them, everybody, is like, ""Oh sh**"". This is really gonna be the future. Imagine games, meetings, work areas, classrooms, concerts, sports venues, when it gets even better, you can be in different places in VR and feel like it's real. Feels like a lot will happen within the remaining years of this 2020-2030 decade.

Imagine how fast the development would be when other companies follow suit.","A lot of people were mocking Mark and his Metaverse project. With this, now, for sure, we, them, everybody, is like, &quot;Oh sh**&quot;. This is really gonna be the future. Imagine games, meetings, work areas, classrooms, concerts, sports venues, when it gets even better, you can be in different places in VR and feel like it&#39;s real. Feels like a lot will happen within the remaining years of this 2020-2030 decade.<br><br>Imagine how fast the development would be when other companies follow suit.",none,0,UCA0WLA0uMo5f7sMt9Ozo09A
19,2023-09-28T18:23:52Z,2023-09-28T18:23:52Z,kmCarter,"Well, here we are, in the Future.","Well, here we are, in the Future.",none,0,UCV3cl9eCEjNFDfmCZ2qhjSA
20,2023-09-28T18:23:52Z,2023-09-28T18:23:52Z,Justin,Never trust an atheist ⚛️,Never trust an atheist ⚛️,none,0,UCbzGtjC2vFi1amVXz83K_3g
