,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-29T06:54:59Z,2023-09-29T06:56:23Z,ColourBeast,"Posture is all wrong. Neck muscles remain static, which is a bit weird. 

Still a long way to go.

Still not sold on headset, there has to be another way.","Posture is all wrong. Neck muscles remain static, which is a bit weird. <br><br>Still a long way to go.<br><br>Still not sold on headset, there has to be another way.",none,0,UC1t2GsOdZC3n3Xc74aLbVaA
1,2023-09-29T06:54:39Z,2023-09-29T06:54:39Z,Apex Twin,I can't believe these two still think they're real!,I can&#39;t believe these two still think they&#39;re real!,none,0,UCkhSSDkR0elPeNrJ4xUj4yg
2,2023-09-29T06:54:29Z,2023-09-29T06:54:29Z,Mark,But is there actual eye contact? Do they know (correctly) when the other is looking them in the eye?,But is there actual eye contact? Do they know (correctly) when the other is looking them in the eye?,none,0,UCUVUoiXNaevDmTEp6gOxeOw
3,2023-09-29T06:53:14Z,2023-09-29T06:53:14Z,Euro-Jenn,This is AWESOME ! ! !,This is AWESOME ! ! !,none,0,UC8NQfWDYRBPBGxeZ4-fWQfQ
4,2023-09-29T06:52:52Z,2023-09-29T06:52:52Z,Scott Wilson,sponsored by Kodak,sponsored by Kodak,none,0,UCOiSVj2nnJwmRVajliJLu_Q
5,2023-09-29T06:52:49Z,2023-09-29T06:52:49Z,MayorofMagaluf,It's crap,It&#39;s crap,none,0,UCZsGfpp6OG2Bpmw4oxLzuWw
6,2023-09-29T06:51:54Z,2023-09-29T06:51:54Z,Michel Maas,Why not just film 2 people? This seems like solving a problem which doesn't exist.,Why not just film 2 people? This seems like solving a problem which doesn&#39;t exist.,none,0,UCokX4FptPss-DseGhTvDNuA
7,2023-09-29T06:51:15Z,2023-09-29T06:51:15Z,Joni Kelly,What’s the big deal?,What’s the big deal?,none,0,UC_CE2hnGeBGgtja4VpOMw7Q
8,2023-09-29T06:50:14Z,2023-09-29T06:50:14Z,zedudli,"This is uncanny and in a bad way. When you’re in the frame together it looks like you’re peering through a hole.. no, it looks like you have your hands tied behind your back and you’re taken hostage in a damp basement. Also, the little digital twitching/glitching on your digital skin is very creepy and unsettling","This is uncanny and in a bad way. When you’re in the frame together it looks like you’re peering through a hole.. no, it looks like you have your hands tied behind your back and you’re taken hostage in a damp basement. Also, the little digital twitching/glitching on your digital skin is very creepy and unsettling",none,0,UCAot5PesDoiUcQUCPyyE7mQ
9,2023-09-29T06:49:53Z,2023-09-29T06:49:53Z,Matthew Orosz,"I am excited for the positive use cases and just a bit nervous that this leads to the steak scene in the Matrix.  When the poor and downtrodden can plug in and become rich and important, when it is so much easier to change our circumstances in “the Meta” than in reality, what prevents mass abandonment of UBI-fed bodies in this world?","I am excited for the positive use cases and just a bit nervous that this leads to the steak scene in the Matrix.  When the poor and downtrodden can plug in and become rich and important, when it is so much easier to change our circumstances in “the Meta” than in reality, what prevents mass abandonment of UBI-fed bodies in this world?",none,0,UC-SFd3B33nUOg3wEzvhye0Q
10,2023-09-29T06:49:27Z,2023-09-29T06:49:27Z,Akshay J,You spelled ZUCC wrong.,You spelled ZUCC wrong.,none,0,UCbOZp8fMfZHn74DCwofkMSQ
11,2023-09-29T06:49:06Z,2023-09-29T06:49:06Z,Cory C,Massive upgrade from cartoon people!,Massive upgrade from cartoon people!,none,0,UCp7OL6Hf9hCzBGaTzqXRsKA
12,2023-09-29T06:48:52Z,2023-09-29T06:48:52Z,Demon-lition,Nobody wants to put a TV on their nose.,Nobody wants to put a TV on their nose.,none,1,UCJmD3aviM_OxydqaoFwX2lw
13,2023-09-29T06:48:09Z,2023-09-29T06:48:09Z,Enio Pašalić,It seems to me that these two have never really looked at anyone in their everyday life,It seems to me that these two have never really looked at anyone in their everyday life,none,0,UCwhNJhz4vLVVVZ9Z_wJqSMw
14,2023-09-29T06:47:46Z,2023-09-29T06:47:46Z,Real Futurist,This is pretty impressive. Can’t wait until this is common place.,This is pretty impressive. Can’t wait until this is common place.,none,0,UCUqsCd3feTl5m6vALg_tl_g
15,2023-09-29T06:46:58Z,2023-09-29T06:46:58Z,fastpastgonebye,I can't wait til I can have a photo realistic AI clone generated conversation with myself,I can&#39;t wait til I can have a photo realistic AI clone generated conversation with myself,none,2,UCa2ATOVFBvC2i0dBgwy2JXw
16,2023-09-29T06:46:06Z,2023-09-29T06:46:06Z,Carl Freer,"This is why you never write off Zuck, or bet against him. Remember the mocking when he bought IG… well done (again)","This is why you never write off Zuck, or bet against him. Remember the mocking when he bought IG… well done (again)",none,0,UCVRXDBynik2roaeSb1KRwug
17,2023-09-29T06:44:36Z,2023-09-29T06:44:36Z,Lord Matthew Luke,As everything is just a derivative binary construct that are based from the contents of the /bin/ folder everything in this world is arbitraily worthless and meaningless as a result. As such conciousness is purposeless as everything and everyone that can be interacted with is a fake artificial persona where love doesn't exist and the only thing which has any value is the pain receptors ans the inhibitors which prevents the human avatar which is effectively a keyboard from existing freely with true creative freedom and abilities.,As everything is just a derivative binary construct that are based from the contents of the /bin/ folder everything in this world is arbitraily worthless and meaningless as a result. As such conciousness is purposeless as everything and everyone that can be interacted with is a fake artificial persona where love doesn&#39;t exist and the only thing which has any value is the pain receptors ans the inhibitors which prevents the human avatar which is effectively a keyboard from existing freely with true creative freedom and abilities.,none,0,UCk4j4Q3XStMuk47kmVFKLCQ
18,2023-09-29T06:43:49Z,2023-09-29T06:43:49Z,zedudli,"To say that this is how people will communicate on the internet in the future is disingenuous at best. If that was the case, we would be all video calling each other right now, instead of texting.. which is the fastest, less intrusive tech. People will always choose the lesser path of resistance when choosing tech, it’s a matter of costs and benefits. This is way too over engineered to see mass adoption","To say that this is how people will communicate on the internet in the future is disingenuous at best. If that was the case, we would be all video calling each other right now, instead of texting.. which is the fastest, less intrusive tech. People will always choose the lesser path of resistance when choosing tech, it’s a matter of costs and benefits. This is way too over engineered to see mass adoption",none,0,UCAot5PesDoiUcQUCPyyE7mQ
19,2023-09-29T06:43:05Z,2023-09-29T06:43:05Z,O.R.,Sponsored podcast? Advert?,Sponsored podcast? Advert?,none,1,UCBETI8wiMyAeZu5EOd9pluw
20,2023-09-29T06:43:05Z,2023-09-29T06:43:05Z,Ciskuss,The truest forms are revealed. They are NoBodies,The truest forms are revealed. They are NoBodies,none,0,UCBb7WpJwRzod4SzPam8-mBw
21,2023-09-29T06:42:53Z,2023-09-29T06:42:53Z,Shadawg Realone,"Lex you should be ashamed of promoting this man. you forgot REAL quick this man owns facebook which facilitates human traffiking and pedophilia amongs other monsterous acts. you forgot REAL quick this man owns Instagram which allows hate and racism as long as youre popular. Matter of fact all his social media platforms are agenda biased evil creations meant to keep you mindless and obedient, his sole purpose in life is to get you addicted to his stupid apps. You forgot REAL quick.","Lex you should be ashamed of promoting this man. you forgot REAL quick this man owns facebook which facilitates human traffiking and pedophilia amongs other monsterous acts. you forgot REAL quick this man owns Instagram which allows hate and racism as long as youre popular. Matter of fact all his social media platforms are agenda biased evil creations meant to keep you mindless and obedient, his sole purpose in life is to get you addicted to his stupid apps. You forgot REAL quick.",none,0,UC9jisJDzN8HTUczXG85Za9g
22,2023-09-29T06:42:27Z,2023-09-29T06:42:27Z,William Thompson,Zuckerberg has censored free speech. He CAN GO TO HELL.,Zuckerberg has censored free speech. He CAN GO TO HELL.,none,0,UCVawgD9O-tDMq9_ZhMwbTlw
23,2023-09-29T06:39:37Z,2023-09-29T06:39:37Z,SrednaBo,"Incredibly impressive. As useful in private as in business. Hope it works out for Meta, before the money runs out. 🥶","Incredibly impressive. As useful in private as in business. Hope it works out for Meta, before the money runs out. 🥶",none,0,UCOuqB19AEmCyibSqr7OA9UA
24,2023-09-29T06:39:14Z,2023-09-29T06:39:14Z,Zachary Amsden,How do you stop someone from stealing your scan and using it to impersonate you?,How do you stop someone from stealing your scan and using it to impersonate you?,none,0,UCqLXOsrkY-S6aaKFj043fCA
25,2023-09-29T06:39:09Z,2023-09-29T06:39:09Z,B,"You will give your full bodyscan for free, and you will be happy","You will give your full bodyscan for free, and you will be happy",none,0,UCric-ehzVSAuCKZIHfnOMqA
26,2023-09-29T06:38:33Z,2023-09-29T06:38:33Z,Shadawg Realone,"Look at yall getting excited over another step towards the end of Human interactions
Look at yall praising a tyrant who's sole purpose is power, money and control
Look at yall lonely tiktok addicts not realizing this is a terrible terrible idea
Look at yall herd of mindless sheep who's too blind to ask the right question - 
it is not a ""can we"", the right question is ""should we"", and the answer is absofuckinlutely NO.
Look at yall..","Look at yall getting excited over another step towards the end of Human interactions<br>Look at yall praising a tyrant who&#39;s sole purpose is power, money and control<br>Look at yall lonely tiktok addicts not realizing this is a terrible terrible idea<br>Look at yall herd of mindless sheep who&#39;s too blind to ask the right question - <br>it is not a &quot;can we&quot;, the right question is &quot;should we&quot;, and the answer is absofuckinlutely NO.<br>Look at yall..",none,0,UC9jisJDzN8HTUczXG85Za9g
27,2023-09-29T06:37:40Z,2023-09-29T06:37:40Z,Pim Kapitz,This shows that Meta is actually miles ahead of Apple when it comes to VR.,This shows that Meta is actually miles ahead of Apple when it comes to VR.,none,0,UCp_MYLdMo1V_9-h6DfjSbCA
28,2023-09-29T06:36:58Z,2023-09-29T06:36:58Z,Jesse Strom,Invest in meta?,Invest in meta?,none,0,UCyNdhlsPTeBojSO_0N5cw3Q
29,2023-09-29T06:35:50Z,2023-09-29T06:35:50Z,Alice Wonderland,"end of my dream, thank you meta.","end of my dream, thank you meta.",none,0,UCro1EYLUJ_eObn92i-iBGyQ
30,2023-09-29T06:35:16Z,2023-09-29T06:35:16Z,spurezurko,CornHub's gonna get wild in few years... lol..,CornHub&#39;s gonna get wild in few years... lol..,none,0,UCEI_jbZXUkoyYa93f6RFYug
31,2023-09-29T06:34:12Z,2023-09-29T06:34:12Z,simi,"Note about my first impression to my future self: this is fucking insane. The opportunities this may give in therapy, psychedelic research and long distance are unlimited. However, its scares me that this change is, again, driven by big companies with a profit mindset. Marketeers will love that.","Note about my first impression to my future self: this is fucking insane. The opportunities this may give in therapy, psychedelic research and long distance are unlimited. However, its scares me that this change is, again, driven by big companies with a profit mindset. Marketeers will love that.",none,0,UCI3qvBE4scSORrWXwPFlVLA
32,2023-09-29T06:34:10Z,2023-09-29T06:34:47Z,gav talk,"Truly hate to admit it, but this could be pretty amazing......especially when they apply it to first person shooter games and porn industry.....not. What will this do to our subsequent interactions in the less polished and more messy ""face to face world""?","Truly hate to admit it, but this could be pretty amazing......especially when they apply it to first person shooter games and porn industry.....not. What will this do to our subsequent interactions in the less polished and more messy &quot;face to face world&quot;?",none,0,UC2DEOwX13t0EzTZF4FR7T2w
33,2023-09-29T06:33:42Z,2023-09-29T06:33:42Z,euclid,Is it me? is it just missing a VS Street Fighter font in the middle there?,Is it me? is it just missing a VS Street Fighter font in the middle there?,none,0,UC0dSrOHeYsJ0qw0gQgI6Bgg
34,2023-09-29T06:33:35Z,2023-09-29T06:33:35Z,YouVikeThat?,If humans were to exclusively communicate in a remote fashion it would be extremely depressing for our species.,If humans were to exclusively communicate in a remote fashion it would be extremely depressing for our species.,none,0,UCH1V7Wi2uNk_Xcb_5pd4ipg
35,2023-09-29T06:32:34Z,2023-09-29T06:32:34Z,YouVikeThat?,Zuckerberg is a straight up creep,Zuckerberg is a straight up creep,none,0,UCH1V7Wi2uNk_Xcb_5pd4ipg
36,2023-09-29T06:32:14Z,2023-09-29T06:32:14Z,Jennifer Ditman,"I can't even watch this.
Zuck & the Meta are the things of nightmares.",I can&#39;t even watch this.<br>Zuck &amp; the Meta are the things of nightmares.,none,0,UCzKIY1NuOI0-uj13-YzVGmQ
37,2023-09-29T06:31:42Z,2023-09-29T06:31:42Z,TransistorsOfToday,"Great tech, actually gets me kind of appreciating mark (? besides spying on citizens) he is training bjj which i love, open source AI LLM with llama, and now this future tech with a possible future implementation of cheaper smartphone scans nice. Still don't trust Mark with my life, but i could have a beer with him or smoke a joint ala jre. 
Since playing Phantom Liberty i can't help but think of the phone calls in Cyberpunk and how it's kinda like this. A virtual avatar of you talking, even in vr! amazing. What a trippy timeline.","Great tech, actually gets me kind of appreciating mark (? besides spying on citizens) he is training bjj which i love, open source AI LLM with llama, and now this future tech with a possible future implementation of cheaper smartphone scans nice. Still don&#39;t trust Mark with my life, but i could have a beer with him or smoke a joint ala jre. <br>Since playing Phantom Liberty i can&#39;t help but think of the phone calls in Cyberpunk and how it&#39;s kinda like this. A virtual avatar of you talking, even in vr! amazing. What a trippy timeline.",none,0,UCiChMZyGqdXY7AWRPbged9g
38,2023-09-29T06:31:28Z,2023-09-29T06:31:28Z,Paul Herzmann,ohhhhhhhhhh boyyyyyyy. Like this is a big deal... jeeeeeeeeesh,ohhhhhhhhhh boyyyyyyy. Like this is a big deal... jeeeeeeeeesh,none,0,UCTlhsBuE0yjeikAoMuIpm-g
39,2023-09-29T06:30:30Z,2023-09-29T06:30:30Z,Alal Alavaladu,It's weird to see lex and mark more emotive than they usually are.,It&#39;s weird to see lex and mark more emotive than they usually are.,none,266,UCblRAoyoZ3ouSTbcOoiB9cw
40,2023-09-29T06:30:23Z,2023-09-29T06:30:23Z,Jh5578,Pretty incredible. I can imagine in the near future making these avatars at home and using them for VR experiences. Its really interesting to see the VR/AR tech take these gradual tech advances towards the goal of a full metaverse.,Pretty incredible. I can imagine in the near future making these avatars at home and using them for VR experiences. Its really interesting to see the VR/AR tech take these gradual tech advances towards the goal of a full metaverse.,none,1,UCcY6GczEv8jUOrDZVVtrkwA
41,2023-09-29T06:30:23Z,2023-09-29T06:30:23Z,TOGA 4 MA,Does anyone realize that Mark in real life is an avatar used by an alien 👽🤣😅,Does anyone realize that Mark in real life is an avatar used by an alien 👽🤣😅,none,0,UCzamMSSQ58Kc2qce-sNZD5w
42,2023-09-29T06:30:06Z,2023-09-29T06:30:06Z,jakedizzle,No thanks.,No thanks.,none,0,UCVzM9UdTcBAwHPMoWdaUbVg
43,2023-09-29T06:27:50Z,2023-09-29T06:27:50Z,Atmos,Honestly this was pretty incredible ❤🎉,Honestly this was pretty incredible ❤🎉,none,3,UCncTml3GARPMGSdMIe7Y7Lg
