,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-29T00:05:56Z,2023-09-29T00:05:56Z,Ernestas Kaminskas,GTA VII is going to be amazing...,GTA VII is going to be amazing...,none,1,UCNlGXxpPZ-29i8r5U4c-obA
1,2023-09-29T00:05:39Z,2023-09-29T00:05:39Z,Agu Abbona,insane!! ❤,insane!! ❤,none,0,UCGZ5FOio3Scs8v8v5hQHRvA
2,2023-09-29T00:05:30Z,2023-09-29T00:05:30Z,Rob Phillips,"Lex normally stares off into the room when thinking/talking in normal podcasts, but in here he’s all eye contact all the time.","Lex normally stares off into the room when thinking/talking in normal podcasts, but in here he’s all eye contact all the time.",none,1,UCA-RHmFxCcFQGDEdCsncs1A
3,2023-09-29T00:05:15Z,2023-09-29T00:05:15Z,Future Buddha,"We are so close to a Copy/Paste reality. Good job, apes!","We are so close to a Copy/Paste reality. Good job, apes!",none,0,UCDZ4F3S_KNCwwhgJVCArMWw
4,2023-09-29T00:05:06Z,2023-09-29T00:05:06Z,Gdestroyer12,This is great technology,This is great technology,none,0,UCS4WXoQl-5IW04D8foXYetA
5,2023-09-29T00:04:45Z,2023-09-29T00:04:45Z,Kevin,"Meta?  
OH!!",Meta?  <br>OH!!,none,0,UCHXHSDieXc3EGqYz-llvVcQ
6,2023-09-29T00:04:36Z,2023-09-29T00:04:36Z,killaxlan,Srry but screw the meta ill stick to the real world.,Srry but screw the meta ill stick to the real world.,none,0,UCTP50MBleeBp3-8T6k0eZpw
7,2023-09-29T00:04:28Z,2023-09-29T00:04:28Z,Kevin Powell,"SHUT UP AND TAKE MY MONEY.  Everyone clowned zuck for the metaverse shift, now he is changing the world, again.   this is truly the future.","SHUT UP AND TAKE MY MONEY.  Everyone clowned zuck for the metaverse shift, now he is changing the world, again.   this is truly the future.",none,0,UCPla6gIX2kzyy5MLpAyOL3A
8,2023-09-29T00:04:22Z,2023-09-29T00:04:22Z,Mamanda Panda,"Uh, we know the loneliness epidemic strengthens the more we sit on our devices. Unless we are with people and able to sense them in-flesh, it will only get worse.","Uh, we know the loneliness epidemic strengthens the more we sit on our devices. Unless we are with people and able to sense them in-flesh, it will only get worse.",none,0,UCpsk1pfD2qWIJtxmnDGvQlQ
9,2023-09-29T00:03:59Z,2023-09-29T00:03:59Z,Tim Janus,Very inspiring. I'm very happy with what the meta team under Marcs leadership has created. Looking forward to get my hand on this technology.,Very inspiring. I&#39;m very happy with what the meta team under Marcs leadership has created. Looking forward to get my hand on this technology.,none,0,UCUcYGN2YogWrKNijEWleg_w
10,2023-09-29T00:03:55Z,2023-09-29T00:03:55Z,Andrew Cullari,What device are they using to conduct this interview? This pod,What device are they using to conduct this interview? This pod,none,0,UCR-WkpMy0AMcB4AfwPzOTrg
11,2023-09-29T00:03:47Z,2023-09-29T00:03:47Z,Alianna,weird shit,weird shit,none,0,UCeqHVLhspEs7R-ZV1o2WVgQ
12,2023-09-29T00:03:37Z,2023-09-29T00:03:37Z,wejzu,"Mark mentioned scanning your face / body with a phone, why not use the cameras on the headset itself? Perhaps you could have another person wear it and walk around you.","Mark mentioned scanning your face / body with a phone, why not use the cameras on the headset itself? Perhaps you could have another person wear it and walk around you.",none,1,UCYU96xcdMTT-Dj_1FAjN5aQ
13,2023-09-29T00:03:31Z,2023-09-29T00:04:45Z,Oliver Thompson,"""Where am I? Where are you Mark? Wh wh where are we? - a digital lex says surrounded by darkness. That part would have been super crazy if I was high",&quot;Where am I? Where are you Mark? Wh wh where are we? - a digital lex says surrounded by darkness. That part would have been super crazy if I was high,none,0,UCvukuFTxMO4Opi3fYk7TE4Q
14,2023-09-29T00:03:04Z,2023-09-29T00:03:04Z,Dr. T,exciting to watch this and think of the ways this can apply to medicine. I am an acupuncturist and think of how I could help with simple acupressure or just diagnostics with pain management. I have worked on a lot of phantom limb pain and wondering how this will help people be able to manage that. I think there will be all sorts of ways to help neurological and psychological conditions. I am excited to see the future of this from the medical aspect.,exciting to watch this and think of the ways this can apply to medicine. I am an acupuncturist and think of how I could help with simple acupressure or just diagnostics with pain management. I have worked on a lot of phantom limb pain and wondering how this will help people be able to manage that. I think there will be all sorts of ways to help neurological and psychological conditions. I am excited to see the future of this from the medical aspect.,none,0,UCLMM04XAJhyMRnNzhWzgMfw
15,2023-09-29T00:02:59Z,2023-09-29T00:02:59Z,Afonso Henriques,Neeeeeeerds!,Neeeeeeerds!,none,0,UCmnWN3e5JR726I2D-aHy6ww
16,2023-09-29T00:02:57Z,2023-09-29T00:02:57Z,Leo Daigle,Lex was the first AI.,Lex was the first AI.,none,0,UCO3nr_GFtoCX51F6zw27_CQ
17,2023-09-29T00:02:53Z,2023-09-29T00:02:53Z,SpicyMelon,Lex's unrelenting excitement and intrigue on experiencing this even when Mark is so calm about it (not his first time so it makes sense) is exactly how I feel about videos like these. I think there is sooo much amazing things being developed in the last 10 years and its going nuts now and when I show other people they just kinda don't care much about it or are scared of it. But I am glad to see others here that love it too!,Lex&#39;s unrelenting excitement and intrigue on experiencing this even when Mark is so calm about it (not his first time so it makes sense) is exactly how I feel about videos like these. I think there is sooo much amazing things being developed in the last 10 years and its going nuts now and when I show other people they just kinda don&#39;t care much about it or are scared of it. But I am glad to see others here that love it too!,none,22,UCOQHWCV3DwAGwsikdxkJuzQ
18,2023-09-29T00:02:34Z,2023-09-29T00:02:34Z,Michael Smith,"You ever be like "" what is so great about the copy of the real thing that is better than the real thing?""",You ever be like &quot; what is so great about the copy of the real thing that is better than the real thing?&quot;,none,1,UCiBEYvnw5PmlGMdSoSTXlgA
19,2023-09-29T00:02:13Z,2023-09-29T00:02:13Z,Nephrite It’s a rock,Enter the matrix,Enter the matrix,none,0,UCFOoNO1h5FSZs9T4_TFTIow
20,2023-09-29T00:02:10Z,2023-09-29T00:02:10Z,Warmer,"My first question was, ""but what kind of bandwidth would this take?"" Such a clever implementation!","My first question was, &quot;but what kind of bandwidth would this take?&quot; Such a clever implementation!",none,0,UC-to3dhSILcKiImTt9Dq3dA
21,2023-09-29T00:01:46Z,2023-09-29T00:01:46Z,sdb,Watching two people have a conversation with 2000s era bulky night vision goggles on just kills my brain cells,Watching two people have a conversation with 2000s era bulky night vision goggles on just kills my brain cells,none,0,UCatKq_X8a1cZ_7bjPP4bXgw
22,2023-09-29T00:01:31Z,2023-09-29T00:01:31Z,Vita Martinenko,"Wow, incredible 🙌🏼","Wow, incredible 🙌🏼",none,0,UCdLvfV_ONSoabS1OrtZYwlQ
23,2023-09-29T00:01:09Z,2023-09-29T00:01:09Z,Michael Deering,rule 34,rule 34,none,0,UCkEpJDV5G07U1EvGQh4QC7g
24,2023-09-29T00:01:05Z,2023-09-29T00:09:41Z,Jack Reacher,"The first 30 seconds of this production convince me that Lex is an unwise person.  Trusting Mark Zuckerberg is the ""never do"" entry in my  list.  I dunno, accepting an offer to I.D. all of me seems collectivist, and end my life type of stupidity.  Gosh, I can't believe how stupid I was when I was their age.","The first 30 seconds of this production convince me that Lex is an unwise person.  Trusting Mark Zuckerberg is the &quot;never do&quot; entry in my  list.  I dunno, accepting an offer to I.D. all of me seems collectivist, and end my life type of stupidity.  Gosh, I can&#39;t believe how stupid I was when I was their age.",none,0,UC3oL9ryOu3N65AHwA2jfMzQ
25,2023-09-29T00:00:34Z,2023-09-29T00:00:34Z,Dylan Edmiston,Lex still can't look his guest in the eye for more than a few seconds...,Lex still can&#39;t look his guest in the eye for more than a few seconds...,none,0,UCF5EyuDaL558WLjmMTSENZQ
26,2023-09-29T00:00:21Z,2023-09-29T00:08:54Z,Alex Lytle,"I’m impressed with the technology, but not sold on the future","I’m impressed with the technology, but not sold on the future",none,0,UCisXqb-7ZoW9KhkutoAqXug
27,2023-09-29T00:00:20Z,2023-09-29T00:00:20Z,Blender Guru,Everyone clowns on Meta but this tech is nothing short of incredible.,Everyone clowns on Meta but this tech is nothing short of incredible.,none,587,UCOKHwx1VCdgnxwbjyb9Iu1g
28,2023-09-29T00:00:06Z,2023-09-29T00:00:06Z,koG guk,"how humans benefit from this? living in fake world instead of real, what are pluses of metaverse compared to real life ?","how humans benefit from this? living in fake world instead of real, what are pluses of metaverse compared to real life ?",none,0,UCjlwXKseW4hz9mqpzv35v4g
29,2023-09-28T23:59:43Z,2023-09-28T23:59:43Z,Inhalants,Lmfao 5 minutes in and Mark is talking about how he'd like to use it to augment his ability to make facial expressions.,Lmfao 5 minutes in and Mark is talking about how he&#39;d like to use it to augment his ability to make facial expressions.,none,0,UChtWorCL9gC56N40GPdraxg
30,2023-09-28T23:59:02Z,2023-09-28T23:59:02Z,qtf0x,"Good graphics cool, but ""the future of human communication?""
seems a bit... over-engineered, perhaps?
You know what's *more* photoreal than these avatars? Actual photos. And what if we played the photos really fast one after the other, to create the illusion of movement? Huh, I think I might be on to something here","Good graphics cool, but &quot;the future of human communication?&quot;<br>seems a bit... over-engineered, perhaps?<br>You know what&#39;s <b>more</b> photoreal than these avatars? Actual photos. And what if we played the photos really fast one after the other, to create the illusion of movement? Huh, I think I might be on to something here",none,0,UCdQNeunhhAVJnabCy80Bhug
31,2023-09-28T23:58:55Z,2023-09-28T23:58:55Z,Pepe López,"Deeply meaningful way... face to face in person, anything else is just like junk food. There are more lonely people now than ever despite the internet or maybe thanks to it.","Deeply meaningful way... face to face in person, anything else is just like junk food. There are more lonely people now than ever despite the internet or maybe thanks to it.",none,2,UC2IwDZwkEXiqvU1_VEBjJbw
32,2023-09-28T23:58:34Z,2023-09-28T23:58:34Z,Tom Freer,Lex pls consider posting yr podcasts to other platforms.,Lex pls consider posting yr podcasts to other platforms.,none,1,UCdvX7MyqH0LiexJrLbXReZQ
33,2023-09-28T23:58:24Z,2023-09-28T23:58:24Z,Blaise Dahl,Robot man and a Lizard person walk into a VR bar…,Robot man and a Lizard person walk into a VR bar…,none,1,UCJPEVt4YsSGkbHKO1zNasig
34,2023-09-28T23:58:22Z,2023-09-28T23:58:22Z,dionys cabrera,❤ amazing please sell it a lot of people will love to buy it,❤ amazing please sell it a lot of people will love to buy it,none,0,UCQC41goOVEkzUJ7SPZW63CA
35,2023-09-28T23:57:48Z,2023-09-28T23:57:48Z,YamatoTre,"...Maybe I'm dumb, but how is this different from a Zoom call? Please someone smart explain it.","...Maybe I&#39;m dumb, but how is this different from a Zoom call? Please someone smart explain it.",none,0,UCxiQH0ozTofPz78BxCfuzyw
36,2023-09-28T23:57:46Z,2023-09-28T23:57:46Z,WorldEverett,"Simulation within the simulation, just as expected.","Simulation within the simulation, just as expected.",none,0,UC0lji0pf5Ay3rN_LeU-Cqqg
37,2023-09-28T23:57:40Z,2023-09-28T23:57:40Z,Laura Marcacci,"How does AI make you feel more human, sir???? 
AI is making us all more robotic. That is NOT human.
How sad to see you promoting this man. 
One cannot even tell the truth on  😈FAKEbook. 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮","How does AI make you feel more human, sir???? <br>AI is making us all more robotic. That is NOT human.<br>How sad to see you promoting this man. <br>One cannot even tell the truth on  😈FAKEbook. 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",none,2,UCmt-u49X85h7EAcduoQTSKA
38,2023-09-28T23:57:38Z,2023-09-28T23:57:38Z,dntwantgglplus,"Mark and Lex are looking more and more lifelike.  Great work, engineering team!","Mark and Lex are looking more and more lifelike.  Great work, engineering team!",none,79,UCw6HSz4s9uoMikcJ5Cm6aKw
39,2023-09-28T23:57:35Z,2023-09-28T23:57:35Z,SeanC_NFT,this is wild,this is wild,none,0,UCZMGR4fW2slm4KSyZb7upMA
40,2023-09-28T23:56:56Z,2023-09-28T23:56:56Z,Carlos El Hakim,"I try not to swear, especially on a public forum, but my only thoughts is: what the fuck?","I try not to swear, especially on a public forum, but my only thoughts is: what the fuck?",none,0,UCApvVcIMQ2I6fyai6Xdz0qw
41,2023-09-28T23:56:43Z,2023-09-28T23:56:43Z,John Doe,The future is gonna be a dystopian shithole,The future is gonna be a dystopian shithole,none,2,UCJtKbNQWj_Jq0OkkEKeUFGA
42,2023-09-28T23:56:32Z,2023-09-29T00:10:02Z,Suc Can | Produce,"Scan my shnuts in tho, if poss...","Scan my shnuts in tho, if poss...",none,1,UCOvdw2DCMc0e1XJdoqkZRYw
43,2023-09-28T23:56:25Z,2023-09-28T23:56:25Z,Knott Shore,I new Lex was really Agent Smith,I new Lex was really Agent Smith,none,0,UCwBG-IfOwNj72_WobYsPOpg
44,2023-09-28T23:56:22Z,2023-09-28T23:56:22Z,NofaultFrank S,This was absolutely amazing 🤯,This was absolutely amazing 🤯,none,0,UCROf1o8LLYMggHXh9Oa2Ivg
45,2023-09-28T23:56:16Z,2023-09-28T23:56:16Z,kenneld,Okay that's pretty wild how good those avatars look.,Okay that&#39;s pretty wild how good those avatars look.,none,0,UCz3v3M-sKsc2nIQtSD1iWRg
46,2023-09-28T23:56:04Z,2023-09-28T23:56:04Z,LeBuno DeLaVie,Kinda sad they didn’t go bowling or something,Kinda sad they didn’t go bowling or something,none,0,UCLSJCTBzuksPTlWpTDAO7iw
47,2023-09-28T23:55:52Z,2023-09-28T23:55:52Z,Michael Wilson,"A big game changer as well is simply the ability to make eye contact. That's the problem with meetings with a webcam. It's not possible to look at the person and into the camera at the same time. This changes that, in addition to the crazy realistic avatars of course.","A big game changer as well is simply the ability to make eye contact. That&#39;s the problem with meetings with a webcam. It&#39;s not possible to look at the person and into the camera at the same time. This changes that, in addition to the crazy realistic avatars of course.",none,0,UCfyrjGL5hGzhhDY3qW0JZRw
48,2023-09-28T23:55:46Z,2023-09-28T23:55:46Z,Mike Mike Motorbike,Remember the story of the Mirror of Erised froM Harry Potter?,Remember the story of the Mirror of Erised froM Harry Potter?,none,0,UCfltLrXmm17pZk96z6Ef0bQ
49,2023-09-28T23:55:32Z,2023-09-29T07:32:25Z,HockeyLegend,Meeting Jane Austen in the metaverse would be cool!,Meeting Jane Austen in the metaverse would be cool!,none,0,UCZo25XBigp7KHGiQtGCAQHA
50,2023-09-28T23:55:05Z,2023-09-28T23:55:05Z,Jasper Owens,Secret: The AI Mark is real and the body is fake.,Secret: The AI Mark is real and the body is fake.,none,1,UC-SYMTRn821YVt1vzJyccHg
51,2023-09-28T23:55:00Z,2023-09-28T23:55:00Z,Anna Alba,"So I guess it’s a race for mark and Elon to find a way to transfer our soul Into AI with Elon’s chip , and marks meta verse","So I guess it’s a race for mark and Elon to find a way to transfer our soul Into AI with Elon’s chip , and marks meta verse",none,1,UClRrSx7ufCBdYjGB0zejb4A
52,2023-09-28T23:54:33Z,2023-09-28T23:54:33Z,Morpheus22,Wait tell only fans get this,Wait tell only fans get this,none,0,UCatpPeXGyxclgA6C5tARJCA
53,2023-09-28T23:54:19Z,2023-09-28T23:54:19Z,Cleric,"If y'all can somehow smooth out that subtle jitter, y'all will nail it.","If y&#39;all can somehow smooth out that subtle jitter, y&#39;all will nail it.",none,0,UCCa5FEjo-HQHokTwVcTcDWw
54,2023-09-28T23:54:14Z,2023-09-28T23:54:14Z,ninjaong87,"The moment this switches over to mainstream is the moment we can do this with a smart phone, cardboard box and a few lenses. 

Untill then, it's fun watching rich and famous people play around with it.. 🤩","The moment this switches over to mainstream is the moment we can do this with a smart phone, cardboard box and a few lenses. <br><br>Untill then, it&#39;s fun watching rich and famous people play around with it.. 🤩",none,0,UCpq2cXR1ORxbdXeP_XSXmVQ
55,2023-09-28T23:54:01Z,2023-09-28T23:54:01Z,Vince A,"I like the zoom out intro to show that legs in fact, exist in the metaverse","I like the zoom out intro to show that legs in fact, exist in the metaverse",none,1,UCnWJm32iCGW7ax2GcsxRqBg
56,2023-09-28T23:54:00Z,2023-09-28T23:54:00Z,Edward Nguyen,Ok now stop the RTO propaganda,Ok now stop the RTO propaganda,none,0,UCXQC61YFjJ-Pmzh-Nc-UVoQ
57,2023-09-28T23:53:49Z,2023-09-28T23:53:49Z,russell pask,Amazing,Amazing,none,0,UCEec2RL4VM_iuuVWPXffqtQ
58,2023-09-28T23:53:48Z,2023-09-28T23:53:48Z,SteelersFan,This is gonna fuck people up lol,This is gonna fuck people up lol,none,0,UCmKfqsE0Q3LsNoSdNreUH-A
59,2023-09-28T23:52:54Z,2023-09-28T23:52:54Z,Dzyan Wattimena ⭕,"Damn that's cool, Lex' model looks spot on. I feel like the skin tone on Mark's model and the rim light on his right side (screen left) need to be tweaked a bit, but other than that this is an amazing demo ✨👌🏼","Damn that&#39;s cool, Lex&#39; model looks spot on. I feel like the skin tone on Mark&#39;s model and the rim light on his right side (screen left) need to be tweaked a bit, but other than that this is an amazing demo ✨👌🏼",none,0,UCLe4XTqAXaKL2szs9oAkGOQ
60,2023-09-28T23:52:23Z,2023-09-28T23:52:23Z,MrBeets,"Imagine being able to record a person like this where you could preserve it, I would give anything to be able to put on a headset and have it be like my mom was sitting there even if it was just for a few seconds.","Imagine being able to record a person like this where you could preserve it, I would give anything to be able to put on a headset and have it be like my mom was sitting there even if it was just for a few seconds.",none,1,UCXBqM0yqGYSU498oKBLJ55A
